id;categoria;nombre;precio_por_unidad;unidad
1;Pollo tangible;Programa;31219;alarm Personal
2;multitarea mobile;facilitate Tácticas synthesizing;13423;Deportes
3;drive;program Cambridgeshire Asistente;98126;Metal
4;Yemen Amarillo;Pollo valor;34622;synthesize
5;productize Buckinghamshire Mancha;Ladrillo;64786;recontextualize
6;Swedish;Regional;95203;Bedfordshire Aragón Inteligente
7;Sudán portals;capacitor;6925;arquitectura Buckinghamshire
8;Increible Mejorado;a navigating;42129;Cambridgeshire Patatas
9;visualize Ensalada Camiseta;models;41967;withdrawal Violeta Aplicaciones
10;Chalet mobile;Bedfordshire sexy Optimización;5788;dynamic
