id;nombre;direccion;codigo_postal
1;Consultor;fritas Centralizado;Zapatos
2;port;Algodón;Guinea-Bisau
3;analista copy transmit;Bedfordshire International Plástico;Productor
4;Explanada San;PNG Checking Somoni;Account Chile
5;Nauru;deposit payment partnerships;Checking
6;Filipinas Algodón;web-readiness Blanco;Descentralizado
7;Sorprendente Rojo;Verde;Central
8;mobile embrace;Totalmente bluetooth Raton;Re-implementado
9;cross-platform auxiliary ADP;primary Aragón Ordenador;synthesize abierta contenido
10;Plástico cross-media;Interacciones clicks-and-mortar;Lituania Raton
